,ward,precinct,tot_votes,eman_votes,garcia_votes,eman_pct,garcia_pct
275,7,18,228,124,104,0.543859649122807,0.45614035087719296
276,7,19,269,169,100,0.6282527881040892,0.37174721189591076
277,7,20,174,105,69,0.603448275862069,0.39655172413793105
278,7,21,196,109,87,0.5561224489795918,0.44387755102040816
279,7,22,209,112,97,0.5358851674641149,0.46411483253588515
280,7,23,317,171,146,0.5394321766561514,0.4605678233438486
281,7,24,263,143,120,0.5437262357414449,0.45627376425855515
282,7,25,239,112,127,0.4686192468619247,0.5313807531380753
283,7,26,230,131,99,0.5695652173913044,0.43043478260869567
284,7,27,231,142,89,0.6147186147186147,0.3852813852813853
285,7,28,207,113,94,0.5458937198067633,0.45410628019323673
286,7,29,233,155,78,0.6652360515021459,0.33476394849785407
287,7,30,208,105,103,0.5048076923076923,0.4951923076923077
288,7,31,171,80,91,0.4678362573099415,0.5321637426900585
289,7,32,434,262,172,0.6036866359447005,0.39631336405529954
290,7,33,407,251,156,0.6167076167076168,0.3832923832923833
291,7,34,364,208,156,0.5714285714285714,0.42857142857142855
292,7,35,272,131,141,0.48161764705882354,0.5183823529411765
293,7,36,353,190,163,0.5382436260623229,0.46175637393767704
294,7,37,336,193,143,0.5744047619047619,0.4255952380952381
295,7,38,198,124,74,0.6262626262626263,0.37373737373737376
296,7,39,279,160,119,0.5734767025089605,0.4265232974910394
297,7,40,289,167,122,0.5778546712802768,0.42214532871972316
298,7,41,262,143,119,0.5458015267175572,0.4541984732824427
299,7,42,275,159,116,0.5781818181818181,0.4218181818181818
300,7,43,269,158,111,0.587360594795539,0.41263940520446096
301,7,44,247,148,99,0.5991902834008097,0.4008097165991903
302,7,45,262,135,127,0.5152671755725191,0.4847328244274809
303,7,46,156,108,48,0.6923076923076923,0.3076923076923077
304,8,1,217,130,87,0.5990783410138248,0.4009216589861751
305,8,2,281,173,108,0.6156583629893239,0.38434163701067614
306,8,3,362,213,149,0.5883977900552486,0.4116022099447514
307,8,4,367,216,151,0.5885558583106267,0.4114441416893733
308,8,5,373,212,161,0.5683646112600537,0.4316353887399464
309,8,6,322,197,125,0.6118012422360248,0.38819875776397517
310,8,7,362,213,149,0.5883977900552486,0.4116022099447514
311,8,8,335,184,151,0.5492537313432836,0.4507462686567164
312,8,9,195,115,80,0.5897435897435898,0.41025641025641024
313,8,10,399,221,178,0.5538847117794486,0.44611528822055135
314,8,11,275,167,108,0.6072727272727273,0.3927272727272727
315,8,12,250,138,112,0.552,0.448
316,8,13,320,197,123,0.615625,0.384375
317,8,14,182,104,78,0.5714285714285714,0.42857142857142855
318,8,15,252,141,111,0.5595238095238095,0.44047619047619047
319,8,16,91,52,39,0.5714285714285714,0.42857142857142855
320,8,17,280,178,102,0.6357142857142857,0.36428571428571427
321,8,18,240,153,87,0.6375,0.3625
322,8,19,361,189,172,0.5235457063711911,0.47645429362880887
323,8,20,313,175,138,0.5591054313099042,0.44089456869009586
324,8,21,343,193,150,0.5626822157434402,0.43731778425655976
325,8,22,269,172,97,0.6394052044609665,0.36059479553903345
326,8,23,225,115,110,0.5111111111111111,0.4888888888888889
327,8,24,198,109,89,0.5505050505050505,0.4494949494949495
328,8,25,295,181,114,0.6135593220338983,0.3864406779661017
329,8,26,275,168,107,0.610909090909091,0.3890909090909091
330,8,27,331,185,146,0.5589123867069486,0.44108761329305135
331,8,28,304,164,140,0.5394736842105263,0.4605263157894737
332,8,29,329,182,147,0.5531914893617021,0.44680851063829785
333,8,30,323,197,126,0.6099071207430341,0.39009287925696595
334,8,31,225,138,87,0.6133333333333333,0.38666666666666666
335,8,32,244,143,101,0.5860655737704918,0.4139344262295082
336,8,33,283,178,105,0.6289752650176679,0.3710247349823322
337,8,34,289,190,99,0.657439446366782,0.34256055363321797
338,8,35,351,195,156,0.5555555555555556,0.4444444444444444
339,8,36,319,190,129,0.5956112852664577,0.4043887147335423
340,8,37,273,155,118,0.5677655677655677,0.43223443223443225
341,8,38,207,130,77,0.6280193236714976,0.3719806763285024
342,8,39,302,187,115,0.6192052980132451,0.38079470198675497
343,8,40,226,149,77,0.6592920353982301,0.3407079646017699
344,8,41,307,178,129,0.5798045602605864,0.4201954397394137
345,8,42,355,194,161,0.5464788732394367,0.4535211267605634
346,8,43,156,87,69,0.5576923076923077,0.4423076923076923
347,8,44,184,97,87,0.5271739130434783,0.47282608695652173
348,8,45,237,136,101,0.5738396624472574,0.42616033755274263
349,8,46,240,120,120,0.5,0.5
350,8,47,256,163,93,0.63671875,0.36328125
351,8,48,238,137,101,0.5756302521008403,0.42436974789915966
352,8,49,296,162,134,0.5472972972972973,0.4527027027027027
353,8,50,330,207,123,0.6272727272727273,0.37272727272727274
354,8,51,331,175,156,0.5287009063444109,0.47129909365558914
355,8,52,406,233,173,0.5738916256157636,0.42610837438423643
356,8,53,168,105,63,0.625,0.375
357,8,54,227,135,92,0.5947136563876652,0.4052863436123348
358,8,55,187,120,67,0.6417112299465241,0.3582887700534759
359,8,56,320,205,115,0.640625,0.359375
360,9,1,286,186,100,0.6503496503496503,0.34965034965034963
361,9,2,236,143,93,0.6059322033898306,0.3940677966101695
362,9,3,152,91,61,0.5986842105263158,0.40131578947368424
363,9,4,226,131,95,0.5796460176991151,0.42035398230088494
364,9,5,260,159,101,0.6115384615384616,0.38846153846153847
365,9,6,304,175,129,0.5756578947368421,0.4243421052631579
366,9,7,190,108,82,0.5684210526315789,0.43157894736842106
367,9,8,227,129,98,0.5682819383259912,0.43171806167400884
368,9,9,340,199,141,0.5852941176470589,0.4147058823529412
369,9,10,240,132,108,0.55,0.45
370,9,11,194,121,73,0.6237113402061856,0.37628865979381443
371,9,12,311,181,130,0.5819935691318328,0.4180064308681672
372,9,13,333,194,139,0.5825825825825826,0.4174174174174174
373,9,14,366,218,148,0.5956284153005464,0.40437158469945356
374,9,15,156,93,63,0.5961538461538461,0.40384615384615385
375,9,16,242,156,86,0.6446280991735537,0.35537190082644626
376,9,17,201,121,80,0.6019900497512438,0.39800995024875624
377,9,18,194,112,82,0.5773195876288659,0.422680412371134
378,9,19,240,133,107,0.5541666666666667,0.44583333333333336
379,9,20,295,178,117,0.6033898305084746,0.39661016949152544
380,9,21,257,154,103,0.5992217898832685,0.40077821011673154
381,9,22,306,178,128,0.5816993464052288,0.41830065359477125
382,9,23,333,185,148,0.5555555555555556,0.4444444444444444
383,9,24,285,186,99,0.6526315789473685,0.3473684210526316
384,9,25,287,154,133,0.5365853658536586,0.4634146341463415
385,9,26,190,98,92,0.5157894736842106,0.4842105263157895
386,9,27,253,155,98,0.6126482213438735,0.38735177865612647
387,9,28,164,71,93,0.4329268292682927,0.5670731707317073
388,9,29,262,143,119,0.5458015267175572,0.4541984732824427
389,9,30,222,134,88,0.6036036036036037,0.3963963963963964
390,9,31,210,127,83,0.6047619047619047,0.3952380952380952
391,9,32,255,145,110,0.5686274509803921,0.43137254901960786
392,9,33,188,126,62,0.6702127659574468,0.32978723404255317
393,9,34,218,131,87,0.6009174311926605,0.39908256880733944
394,9,35,279,165,114,0.5913978494623656,0.40860215053763443
395,9,36,226,123,103,0.5442477876106194,0.4557522123893805
396,9,37,336,193,143,0.5744047619047619,0.4255952380952381
397,9,38,268,175,93,0.6529850746268657,0.34701492537313433
398,9,39,287,168,119,0.5853658536585366,0.4146341463414634
399,9,40,314,190,124,0.6050955414012739,0.39490445859872614
400,9,41,226,141,85,0.6238938053097345,0.37610619469026546
401,9,42,330,166,164,0.503030303030303,0.49696969696969695
402,9,43,216,139,77,0.6435185185185185,0.35648148148148145
403,9,44,248,102,146,0.4112903225806452,0.5887096774193549
404,9,45,213,131,82,0.6150234741784038,0.38497652582159625
405,9,46,258,152,106,0.5891472868217055,0.4108527131782946
406,9,47,341,195,146,0.5718475073313783,0.4281524926686217
407,9,48,315,162,153,0.5142857142857142,0.4857142857142857
408,9,49,307,183,124,0.5960912052117264,0.40390879478827363
409,9,50,387,211,176,0.5452196382428941,0.45478036175710596
410,9,51,302,185,117,0.6125827814569537,0.38741721854304634
411,10,1,250,127,123,0.508,0.492
412,10,2,379,196,183,0.5171503957783641,0.48284960422163586
413,10,3,367,223,144,0.6076294277929155,0.3923705722070845
414,10,4,257,91,166,0.3540856031128405,0.6459143968871596
415,10,5,305,163,142,0.5344262295081967,0.46557377049180326
416,10,6,300,124,176,0.41333333333333333,0.5866666666666667
417,10,7,232,76,156,0.3275862068965517,0.6724137931034483
418,10,8,165,67,98,0.40606060606060607,0.593939393939394
419,10,9,391,206,185,0.5268542199488491,0.4731457800511509
420,10,10,376,162,214,0.4308510638297872,0.5691489361702128
421,10,11,478,148,330,0.30962343096234307,0.6903765690376569
422,10,12,249,93,156,0.37349397590361444,0.6265060240963856
423,10,13,367,125,242,0.3405994550408719,0.659400544959128
424,10,14,497,163,334,0.32796780684104626,0.6720321931589537
425,10,15,552,287,265,0.519927536231884,0.48007246376811596
426,10,16,278,160,118,0.5755395683453237,0.4244604316546763
427,10,17,494,260,234,0.5263157894736842,0.47368421052631576
428,10,18,193,74,119,0.38341968911917096,0.616580310880829
429,10,19,417,169,248,0.4052757793764988,0.5947242206235012
430,10,20,412,173,239,0.4199029126213592,0.5800970873786407
431,10,21,388,120,268,0.30927835051546393,0.6907216494845361
432,10,22,190,40,150,0.21052631578947367,0.7894736842105263
433,10,23,337,98,239,0.29080118694362017,0.7091988130563798
434,10,24,408,223,185,0.5465686274509803,0.4534313725490196
435,10,25,95,38,57,0.4,0.6
436,10,26,266,76,190,0.2857142857142857,0.7142857142857143
437,10,27,284,108,176,0.38028169014084506,0.6197183098591549
438,10,28,423,108,315,0.2553191489361702,0.7446808510638298
439,10,29,335,99,236,0.2955223880597015,0.7044776119402985
440,10,30,322,84,238,0.2608695652173913,0.7391304347826086
441,10,31,258,70,188,0.2713178294573643,0.7286821705426356
442,10,32,360,146,214,0.40555555555555556,0.5944444444444444
443,10,33,251,67,184,0.26693227091633465,0.7330677290836654
444,10,34,211,66,145,0.3127962085308057,0.6872037914691943
445,10,35,449,211,238,0.46993318485523383,0.5300668151447662
446,10,36,87,31,56,0.3563218390804598,0.6436781609195402
447,11,1,385,244,141,0.6337662337662338,0.36623376623376624
448,11,2,41,17,24,0.4146341463414634,0.5853658536585366
449,11,3,267,74,193,0.27715355805243447,0.7228464419475655
450,11,4,355,164,191,0.4619718309859155,0.5380281690140845
451,11,5,430,178,252,0.413953488372093,0.586046511627907
452,11,6,324,206,118,0.6358024691358025,0.36419753086419754
453,11,7,244,140,104,0.5737704918032787,0.4262295081967213
454,11,8,364,192,172,0.5274725274725275,0.4725274725274725
455,11,9,338,178,160,0.5266272189349113,0.47337278106508873
456,11,10,368,235,133,0.6385869565217391,0.36141304347826086
457,11,11,406,222,184,0.5467980295566502,0.45320197044334976
458,11,12,615,366,249,0.5951219512195122,0.40487804878048783
459,11,13,555,339,216,0.6108108108108108,0.3891891891891892
460,11,14,249,182,67,0.7309236947791165,0.26907630522088355
461,11,15,168,127,41,0.7559523809523809,0.24404761904761904
462,11,16,300,181,119,0.6033333333333334,0.39666666666666667
463,11,17,393,219,174,0.5572519083969466,0.44274809160305345
464,11,18,355,253,102,0.7126760563380282,0.28732394366197184
465,11,19,438,223,215,0.5091324200913242,0.4908675799086758
466,11,20,303,218,85,0.7194719471947195,0.28052805280528054
467,11,21,583,407,176,0.6981132075471698,0.3018867924528302
